SL,TIME,BP,CIRCLUATION,HR,EEG,ACTIVITY
42.2242,2498.04,96,5,33,-195,3
43.5905,2231.99,94,5,33,-637,4
45.7832,2622.78,6,5,33,-533,2
46.0085,2529.04,6,5,33,-262,1
46.1404,2632.72,6,5,33,-492,2
46.5214,2427.73,96,5,33,-368,4
46.9076,2024.82,92,5,33,-343,4
47.4192,2361.95,8,5,33,-460,1
47.7134,2586.38,6,5,33,-336,1
47.8229,2604.83,6,5,33,-518,1
47.8644,2363.39,6,5,33,-459,1
47.9959,2629.08,96,5,33,-283,3
48.0635,2533.12,96,5,33,-454,4
48.09,2060.16,6,5,33,-364,5
48.279,2482.87,92,5,33,-236,2
48.5016,2120.99,6,5,33,-272,2
48.6943,2427.24,12,5,33,-517,3
48.7374,2393.16,6,5,33,-608,1
48.7784,2525.35,96,5,33,-244,4
48.8389,2528.1,96,5,33,-263,2
48.8436,2620.23,6,5,33,-394,2
48.856,2497.86,6,5,33,-286,2
48.868,2676.47,6,5,33,-725,3
48.8687,2571.86,8,5,33,-447,2
48.9971,2353.64,8,5,33,-476,2
49.0126,2401.42,92,5,33,-589,3
49.0547,2269.47,6,5,33,-538,1
49.3234,2594.63,96,5,33,-367,2
49.3236,2433.57,8,5,33,-453,1
49.4221,2386.15,6,5,33,-310,1
49.4464,2584.09,6,5,33,-511,2
49.4916,2419.02,6,5,33,-422,1
49.5111,2332.19,8,5,33,-651,1
49.5409,2438.85,6,5,33,-639,1
49.5431,2578.52,92,5,33,-467,2
49.5506,2706.88,6,5,33,-470,1
49.5646,2572.08,96,5,33,-378,4
49.5836,2363.5,8,5,33,-515,2
49.5873,2305.65,13,5,33,-408,1
49.6006,2254.41,8,5,33,-611,2
49.6585,2725.94,6,5,33,-492,1
49.7314,2202.64,6,5,33,-487,5
49.7854,2441.18,92,5,33,-441,4
49.8354,2713.77,6,5,33,-700,1
49.9066,2393.28,8,5,33,-540,1
49.9295,2959.83,8,5,33,-322,1
49.9553,2469.17,96,5,33,-222,2
49.9956,2875.87,6,5,33,-390,1
50.0289,2328.21,12,5,33,-343,1
50.0457,2408.51,92,5,33,-567,4
50.0522,2471.38,94,5,33,-489,4
50.0699,2371.63,8,5,33,-432,1
50.0828,2470.51,92,5,33,-471,4
50.0926,2513.23,6,5,33,-575,2
50.0985,2457.03,92,5,33,-397,3
50.1395,2654.25,6,5,33,-560,3
50.1714,2371.56,92,5,33,-533,4
50.1853,2318.9,92,5,33,-522,3
50.2179,2376.63,92,5,33,-560,4
50.2179,2377.48,92,5,33,-557,4
50.2298,2633.06,8,5,33,-394,1
50.249,2743.06,6,5,33,-393,1
50.3662,2436.68,8,5,33,-458,1
50.4988,2419.75,96,5,33,-385,2
50.5167,2572.55,8,5,33,-624,1
50.5395,2344.5,6,5,33,-643,2
50.5575,2821.21,6,5,33,-589,1
50.6821,2406.8,96,5,33,-473,3
50.6827,2503.49,6,5,33,-542,1
50.7582,2504.36,96,5,33,-554,3
50.7617,2396.06,6,5,33,-757,1
50.7893,2563.77,6,5,33,-313,1
50.7956,2643.5,6,5,33,-571,1
50.7956,2642.39,6,5,33,-546,1
50.7964,2640.44,6,5,33,-526,1
50.8063,2476.05,92,5,33,-335,2
50.8227,2406.77,8,5,33,-667,1
50.8236,2256.19,6,5,33,-459,1
50.8788,2992.76,8,5,33,-318,1
50.9054,2563.23,92,5,33,-420,4
50.9237,2417.5,8,5,33,-562,1
50.9566,2373.38,8,5,33,-515,1
50.9638,2533.86,96,5,33,-447,3
50.9661,2503.1,6,5,33,-551,1
50.9989,2579.3,8,5,33,-483,2
51.015,2419.66,8,5,33,-472,1
51.0153,2443.42,92,5,33,-397,2
51.0363,2478.68,6,5,33,-559,1
51.0432,2517.82,8,5,33,-539,2
51.0642,2414.83,13,5,33,-602,1
51.1604,2475.29,92,5,33,-547,4
51.1674,2488.87,6,5,33,-572,1
51.2132,2510.97,6,5,33,-443,1
51.2206,2520.77,13,5,33,-562,3
51.257,2580.85,8,5,33,-585,1
51.2572,2548.91,6,5,33,-398,1
51.298,2501.63,6,5,33,-547,1
51.3076,2497.98,6,5,33,-541,1
51.3272,2518.96,6,5,33,-523,1
51.381,2475.73,6,5,33,-609,1
51.3839,2602.98,8,5,33,-580,1
51.4007,2554.88,96,5,33,-554,4
51.4555,2434.15,8,5,33,-559,1
51.4581,2535.87,6,5,33,-427,1
51.4662,2510.54,96,5,33,-491,4
51.4882,2271.71,8,5,33,-667,1
51.5298,2289.61,8,5,33,-448,1
51.5568,2709.01,8,5,33,-308,1
51.5656,2202.39,6,5,33,-511,1
51.5672,2525.12,8,5,33,-688,1
51.5672,2493.45,8,5,33,-621,1
51.5672,2510.7,8,5,33,-564,1
51.5672,2530.64,8,5,33,-755,1
51.591,2751.38,92,5,33,-477,4
51.6195,2517.75,6,5,33,-509,2
51.6361,2407.1,8,5,33,-436,1
51.661,2452.93,96,5,33,-467,4
51.6632,2508.42,96,5,33,-274,3
51.6653,2417.58,96,5,33,-512,2
51.6864,2489.52,6,5,33,-614,1
51.7125,2446.29,8,5,33,-601,2
51.7239,2354.35,96,5,33,-483,2
51.7423,2386.19,96,5,33,-510,2
51.7574,2506.87,92,5,33,-411,2
51.7653,2771.06,92,5,33,-344,4
51.7655,2761.39,92,5,33,-388,4
51.7852,2609.46,6,5,33,-166,1
51.7852,2614.5,6,5,33,-119,1
51.7899,2487.87,92,5,33,-209,2
51.8026,2270.29,8,5,33,-469,1
51.8815,2301.8,92,5,33,-232,2
51.901,2412.84,6,5,33,-701,2
51.905,2557.24,96,5,33,-293,3
51.9286,2568.61,92,5,33,-375,4
51.9483,2379.08,6,5,33,-539,1
51.9713,2462.86,6,5,33,-572,1
52.0134,2465.64,8,5,33,-734,1
52.0206,2432.57,92,5,33,-315,3
52.0823,2491.56,96,5,33,-445,2
52.1516,2508.44,92,5,33,-477,3
52.1699,2413.1,6,5,33,-494,2
52.1738,2598.31,92,5,33,190,3
52.188,2453.41,6,5,33,-538,1
52.1987,2436.24,8,5,33,-426,1
52.2254,2491.23,8,5,33,-656,1
52.2358,2495.77,6,5,33,-547,1
52.252,2514.41,6,5,33,-518,1
52.2585,2264.19,96,5,33,-514,4
52.2644,2273.6,8,5,33,-242,2
52.289,2349.32,96,5,33,-419,2
52.3023,2448.47,6,5,33,-417,1
52.3816,2444.59,96,5,33,-271,3
52.4793,2515.57,6,5,33,-275,1
52.5249,2480.83,6,5,33,-625,1
52.5799,2726.91,92,5,33,-430,4
52.5965,2480.07,96,5,33,-350,2
52.6466,2567.85,6,5,33,-548,1
52.6785,2420.35,6,5,33,-495,1
52.6901,2617.76,96,5,33,-456,3
52.7273,2543.24,96,5,33,-265,2
52.7301,2550.42,96,5,33,-319,2
52.7779,2475.05,8,5,33,-596,1
52.8011,2440.53,8,5,33,-624,1
52.8183,2450.42,8,5,33,-437,1
52.8204,2384.62,92,5,33,-322,4
52.8877,2560.44,8,5,33,-374,1
52.9309,2442.39,6,5,33,-387,1
53.0404,2514.95,6,5,33,-402,3
53.1264,2515.6,92,5,33,-237,4
53.1866,2433.38,92,5,33,-410,2
53.2569,2300.55,96,5,33,-628,3
53.2692,2579.68,6,5,33,-487,2
53.3437,2283.51,96,5,33,-464,3
53.3461,2407.43,96,5,33,-388,4
53.348,2665.79,8,5,33,-393,1
53.505,2406,8,5,33,-355,2
53.6338,2242.17,96,5,33,-339,4
53.679,2297.22,6,5,33,-478,1
53.6969,2891.55,8,5,33,-267,1
53.7289,2441.25,92,5,33,49.1,2
53.7691,2533.06,96,5,33,-347,2
53.7777,2489.15,8,5,33,-349,1
53.8114,2529.81,6,5,33,-255,1
53.818,2421.68,6,5,33,-531,1
53.8834,2475.98,94,5,33,-450,2
54.2252,2456.07,6,5,33,-184,2
54.2252,2828.22,6,5,33,-492,1
54.2518,2017.36,97,5,33,-206,5
54.4479,2461.1,8,5,33,-581,1
54.5629,2532.33,6,5,33,-354,2
54.6222,2275.3,96,5,33,-586,3
