Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Category
2800.5,4960.5,52,225,68,-1275.4,2
2949.7,4612.5,25,249,72,-1168.9,2
39879,11019,27,2117,193,-3860.8,4
16784,7930.7,57,843,143,-2804.7,3
1935.5,4299.4,6,165,63,-1101.4,3
57109,11031,94,2748,211,-4561.6,0
53.519,2496.5,5,4,34,-546.38,1
4.72E+05,25115,49,15506,484,-8440.9,2
33029,9665.7,87,1921,176,-3403.4,4
4897.2,5660.1,15,293,88,-307.91,5
60313,11524,129,2904,218,-4253.3,3
6.13E+05,25816,112,18848,584,-13771,0
9801.8,7889.8,29,622,122,-2414.1,4
1.02E+05,14772,54,4248,308,-7416.6,0
3209.2,4430.8,33,248,71,-1206,4
5179.1,6409.3,57,291,78,-2379,2
33331,11658,103,1693,203,-4078.6,4
1.41E+05,15003,42,5843,314,-2950.6,3
1.41E+05,13849,160,6056,307,-6052.5,4
11539,7027.5,19,764,103,-1651.9,5
16572,9279.6,1,843,142,-1017.4,5
3456.5,4878.4,7,243,73,-1725.8,0
49425,9915.3,22,2678,217,-6659.9,3
32343,8785.6,10,1746,180,-3125,0
66667,10254,96,3049,206,-6051.4,0
26337,8556.3,28,1363,155,-2248.1,4
2024.4,5736.4,54,130,84,-1661.7,0
12108,7464.9,67,695,129,-2871.6,5
1.97E+05,17794,69,6752,360,-8359.9,0
98809,10396,33,4618,245,-4553.9,0
4744.8,5884.2,21,344,86,-1001.4,1
4330.5,5087,14,339,73,-1294.1,5
16230,7384.2,98,888,133,-4153.6,0
3468.9,5292,51,133,51,-793.88,2
3.42E+05,21315,98,11564,461,-4791.1,3
5454.6,6709.1,9,292,79,-1850.7,2
4974.3,6697.6,50,346,107,-2094.9,3
4672.6,8551.3,27,271,130,-2532.5,5
50931,13375,35,2463,233,-5658.8,2
1.41E+05,14753,52,5843,314,-3969,4
26292,10141,24,1415,173,-3234.6,4
52683,11170,54,2191,224,-3720.1,4
2.51E+05,18065,83,8472,467,-9482,0
1.17E+06,40236,149,29095,829,-17529,0
57637,12269,36,2823,223,-2200.5,4
1.15E+05,12025,48,4904,236,-2020.7,3
85268,11169,26,3450,219,-2710.9,3
23241,7622.4,15,1414,180,-4366,0
38775,8720.5,22,1886,195,-3559.4,3
51230,14015,44,2463,234,-3850.1,3
9113.2,6729.6,26,517,101,-624.98,4
51036,13175,35,2465,233,-4111.7,2
27772,9605.7,99,1403,159,-2923.4,4
1.01E+05,15239,64,4254,345,-4115.3,0
4201.3,5997.2,121,319,87,-1305.8,3
10781,9907.4,37,588,154,-2400.2,3
10771,8428.9,25,619,157,-3335,0
86474,10733,11,3450,219,-2809.8,3
92435,14032,72,3795,291,-5907.9,0
25571,8348.3,37,1364,155,-2649.6,5
1921.1,4203.8,6,167,62,-1084.2,2
73788,12182,20,3631,250,-4410.3,1
4710.9,7756.2,27,272,130,-2761.9,5
61152,13498,37,2755,247,-5330.5,4
11231,8561.4,28,655,157,-3195.6,4
30397,11672,30,1520,194,-1909.4,4
11960,8331.4,87,692,129,-2588.1,2
1.08E+05,15069,44,4253,303,-7119.7,0
9538.1,7776.6,38,554,139,-2798.5,4
8865.5,7319.6,26,517,101,-1101.1,4
27599,9899.3,30,1520,193,-3440.5,4
80617,13079,43,3463,300,-6104,0
1.62E+05,18515,98,6291,387,-10500,3
1.61E+05,18760,65,6290,389,-7019,3
71223,11693,33,3212,261,-6192.2,5
1.41E+05,14988,50,6062,295,-7923.7,0
3441.8,5812.1,8,269,96,-1619.4,0
12179,8248.6,82,692,128,-2558.6,3
15661,7225.5,71,971,134,-2636.2,3
1.09E+05,15299,47,4619,321,-6378.8,4
57403,10936,48,2821,224,-4090.2,4
20518,8386.5,40,1165,175,-4444.5,0
81984,13447,41,3540,271,-6600.6,3
1.12E+05,17684,49,4619,322,-5288.4,3
4322,6599.9,64,269,101,-1891.2,5
3.10E+05,26057,103,8349,537,-7338.3,4
1.39E+05,14878,348,5527,321,-8895.7,0
1.93E+05,15794,18,6648,352,-6398.1,0
2.36E+05,18553,234,8735,439,-11996,0
14317,8070.6,90,808,119,-1963.1,3
1.17E+05,17864,59,4162,305,-5667.4,0
2.78E+05,22449,64,9276,468,-9394,5
33603,9489.2,94,1922,175,-3392.2,4
74090,11100,128,3288,229,-5663.8,0
4142.5,7471,30,205,86,-2150.4,4
44735,10875,85,2188,193,-4332.6,0
2093.4,5250.1,5,186,83,-1620.5,5
9177,7819.6,17,555,137,-3082.5,2
85724,11220,22,3450,221,-2320.6,3
3965.7,5194.1,9,270,87,-1682.1,0
24631,8139.4,60,1251,155,-2824.3,5
1939.9,4316.6,6,167,64,-1056.4,3
2.80E+05,23290,71,9276,469,-9203.9,5
1.45E+05,13889,174,6056,309,-6179.4,3
49292,10104,42,2677,215,-5120.4,3
30932,8072.9,13,1581,158,-3056.4,0
18542,8046.6,30,979,153,-3928,0
7388.8,6417.4,49,546,92,-1601,3
60134,12107,126,2535,263,-9201.1,0
46599,13107,58,2060,274,-5726.5,5
14149,7103,86,808,120,-2380.5,4
2.69E+05,24546,100,8350,538,-10999,3
29684,8212.9,92,1744,159,-3145.9,0
2648.2,5635.6,5,226,81,-1342.4,0
66809,13870,48,2192,223,-3807.9,3
1.15E+05,11538,45,4906,234,-1789.3,3
4283.5,5297.3,11,316,79,-1210.9,3
5238.1,6649.9,9,293,78,-1309.6,2
56371,12774,30,2676,215,-4598.9,4
83841,13758,26,3453,261,-7461.5,0
1.64E+05,15937,73,6745,353,-7778.4,2
20322,8446.1,95,1161,162,-3495.5,4
39383,10804,116,1750,204,-3992.6,4
87354,12380,65,3973,271,-5480.7,0
1410.7,3989.9,37,134,52,-942.71,3
37778,10330,132,1752,205,-4226.8,2
1394.4,4004.3,38,132,52,-929.39,3
7632.2,5679.9,73,457,103,-1872.5,2
1.14E+05,11410,50,4905,235,-3399.1,2
12178,8654.9,80,693,127,-2450.6,2
3233.8,4458.8,34,249,71,-1243.7,4
5512.7,5870.6,13,341,86,-2187.1,0
20304,8577.6,78,1163,164,-3417,5
75383,15232,169,3062,350,-8580.6,0
34538,9819,128,1692,209,-4583.1,4
38775,9747.6,53,2053,180,-3721.8,4
5330,8123.8,29,206,87,-1358.5,3
1.43E+05,13348,174,6057,309,-6196.4,3
1.62E+05,18608,92,6291,389,-11000,4
31897,8631.5,42,1569,152,-5036.1,0
9146.4,6851.7,23,553,139,-2961.3,4
44734,11752,47,2058,224,-3107.4,3
1.90E+05,20755,76,6747,404,-7341,3
88354,12204,16,3450,219,-2359.9,4
27281,8066.5,85,1520,157,-2907.2,4
1.25E+06,34811,210,30796,872,-21686,0
34053,10896,35,1579,196,-4550.9,0
7583.5,5565.9,75,458,103,-1977.3,2
10337,10249,40,588,155,-1990.6,2
4.11E+05,22171,68,14125,473,-8960.1,2
1.93E+05,15179,45,7451,335,-9658.4,0
15088,8826.7,36,888,158,-4599.4,0
3020.1,5305.2,50,223,67,-1199.6,2
55428,11630,56,2193,225,-2648.2,4
61360,13402,147,2836,315,-8371.1,0
87085,14156,77,3624,294,-7748.7,0
1.39E+06,35616,115,33059,727,-21269,0
30493,9781.2,115,1748,172,-3142,4
7336.6,7015.5,23,428,95,-1701.3,5
2.32E+05,18588,95,7837,437,-12290,0
13662,6668.8,19,803,95,-1589.6,2
32391,13153,33,1581,218,-6683,0
1.62E+05,18349,87,6291,387,-11500,3
16161,8849,89,973,171,-3318.1,5
27439,8973.3,97,1402,157,-2997.6,4
57.408,2531.3,9,4,33,-208.75,1
7621.1,5964.3,69,457,104,-1768.9,2
9198.1,6898.8,21,553,137,-3140.1,3
4.66E+05,25150,49,15504,484,-10998,5
12042,8420.5,84,693,128,-2599.1,2
16578,8467.3,41,851,152,-3321.5,0
2215.3,4000.4,23,164,53,-1054.8,2
29080,9068.6,33,1625,179,-3414.8,5
58749,11890,54,2821,223,-3129.5,4
5.15E+05,22445,143,18067,541,-12233,4
60283,13286,36,2823,224,-2400.7,4
2.41E+05,22802,87,8351,538,-10800,3
29521,9274.5,82,1521,157,-2767,4
46342,9455.1,136,2320,184,-5722.6,0
2012.2,4167.9,6,166,63,-1079.5,3
1.24E+05,16262,92,5029,423,-10920,0
1.64E+05,14175,153,6859,343,-7948.3,0
2.05E+05,20931,282,6637,482,-11711,0
25458,8940.3,29,1408,155,-3797,0
1.77E+05,18147,217,6750,412,-10113,0
1.56E+05,19905,71,5538,449,-8180.2,2
86513,11055,27,3450,221,-3790.5,4
43158,13672,47,1580,235,-1911.8,3
13152,7595.4,12,809,140,-4360.6,0
83594,11021,25,3451,221,-1298.1,3
41915,8813.5,45,2378,187,-4552.7,0
37701,11013,64,1756,230,-3600,0
1.38E+05,15257,63,5629,316,-7997,0
80813,14469,186,3137,241,-5728.4,0
13174,7897.6,13,725,133,-2871.6,0
13750,6816,27,805,97,-1489.9,3
85345,11017,19,3449,220,-3150.2,3
1.47E+05,19391,72,4918,382,-11313,0
72243,12586,53,3210,261,-5578.9,5
94946,14930,59,4064,283,-6790.7,0
4668,8662.3,32,272,131,-2595.7,5
10992,9026.5,27,654,157,-2953.5,4
1289.3,3496.3,34,100,41,-671.21,2
2.80E+05,23537,74,9275,468,-9219.6,5
27051,9013.5,23,1363,156,-3219.3,3
10606,6752.2,18,580,96,-2707.4,0
5589.3,5076,9,398,80,-91.72,0
14130,7501.2,97,808,119,-2336.6,3
10544,8044.3,88,587,139,-3036.5,2
1493.2,4068.8,41,132,52,-925.22,2
31362,8940.7,91,1805,178,-4011.7,0
7646.2,5939.2,64,458,103,-1771.2,2
93966,14557,55,3802,290,-6771.1,0
11097,5964.4,23,765,102,-1940.5,4
1964.1,4039.8,6,165,64,-1114,3
5360.4,6855.2,52,346,107,-2115.4,3
1.28E+05,15621,82,4912,350,-7849.2,0
63972,10805,91,3206,231,-4461,0
37402,10336,34,2117,194,-3810.8,4
20527,9098.6,67,1156,144,-2886.2,4
1.62E+05,16251,79,6744,352,-3304.8,2
13508,6418.6,19,805,97,-1519.3,3
1.00E+05,12428,69,4076,333,-5075.3,0
1.45E+05,16634,54,5845,315,-4280,4
69041,16314,98,2469,309,-7691.8,0
19381,10285,73,622,125,-3283.1,0
1.22E+06,39429,245,18868,816,-21622,0
81124,15818,59,2058,223,-2240.8,3
1.78E+05,19070,95,6746,403,-4601.7,3
1.62E+05,18341,78,6289,387,-9321.6,3
97868,12374,41,4429,271,-4863.3,0
10081,9055.4,36,588,153,-2160.8,3
24964,8954,36,1409,164,-5054,0
37267,12325,44,1582,235,-3789.9,2
2773.6,5469.5,39,223,66,-1137.9,3
2791.7,5110.9,36,224,67,-1180.6,3
38314,11094,38,1998,234,-6537.5,0
60205,11562,67,2822,222,-434.72,5
1.65E+05,17295,74,6744,353,-7411.1,2
1.16E+05,13448,46,4920,270,-2709.7,0
4.13E+05,21841,69,14126,474,-8640.9,4
2166.4,3701.4,2,161,43,-563.83,5
4014.4,5370.5,21,292,80,-2300,4
34358,9383.4,130,1692,207,-4616.2,4
1.61E+05,17364,83,6290,387,-11999,3
2.00E+05,15911,296,8210,346,-7747.2,0
57912,10609,142,2904,218,-4580,2
39282,9555.9,16,1886,196,-3221.1,3
10276,7796.9,25,621,123,-2350.8,4
91834,14438,51,3886,254,-3730.8,3
27071,9215.8,28,1413,165,-2809.2,5
50550,12179,42,2465,234,-6289.7,3
10328,6639.7,15,688,109,-3161.9,3
1.44E+05,13006,187,6056,308,-7059.5,0
11267,5956.9,27,764,101,-1873.4,4
1.72E+05,15836,199,6856,365,-9218,0
12742,7050.2,81,642,108,-2229.8,0
10414,9018.6,97,586,140,-2744.8,4
2938.6,4765.6,46,223,66,-1254.7,3
37405,10322,106,1750,206,-4296.7,3
52993,11964,30,2532,269,-7071.7,0
44082,8731.7,39,2187,189,-5003.5,0
27511,9589.1,24,1522,194,-3328.8,4
2.17E+05,21349,77,6746,404,-4800.4,5
96066,13647,54,4250,294,-5914.4,5
43221,11278,11,1413,173,-4517.1,0
38043,9436.7,39,2054,179,-3803.8,5
7538.1,7096.2,17,455,131,-4593.2,0
4290.3,5377.7,15,293,89,-903.19,1
1983.8,4359.8,4,167,62,-1039.5,3
64260,10991,77,3055,276,-5616.3,0
58958,10486,85,2904,218,-4517.7,5
62.608,2589.1,93,6,32,-430.28,2
7125.1,6763.6,160,487,110,-2119.1,5
30351,9381.5,116,1748,170,-3251.8,5
1.27E+05,14027,35,5313,296,-8139.6,0
33143,10407,73,1922,177,-3309,4
9454.4,7751,14,585,141,-1966.7,0
4970.7,5739.3,26,342,84,-881.21,1
69274,11321,144,3372,247,-5287.3,1
17144,9177.5,34,931,182,-4255.3,1
1.14E+05,17349,39,4620,321,-5929.8,5
9865.2,7409.5,15,616,118,-2098,0
11145,5897,23,764,103,-1910.5,4
74504,11976,26,3631,250,-3969,2
5005.8,6061.4,7,292,78,-1899.8,3
7582.5,6477.9,65,456,104,-1617.3,2
36070,11374,115,1690,207,-4132.1,5
1.50E+05,19205,71,5538,450,-9219.1,2
10194,7891,16,620,124,-2384.3,4
2960.8,4976.6,48,224,68,-1234.6,2
7519.9,5985.2,68,457,104,-1762.9,2
10371,6167.9,12,688,108,-3189.3,3
8146.1,6096,12,484,86,-2116.6,0
85781,10642,24,3450,220,-2489.7,3
41491,10094,19,2055,181,-4312.6,0
38503,8733.3,24,1991,206,-5822.7,0
4.09E+05,21139,65,14125,473,-9881.1,3
4251.1,4886,15,291,89,-1320.9,1
1.04E+06,31469,138,29082,741,-19467,0
1917.4,4321,5,165,62,-1057.4,3
50262,9499.1,34,2743,189,-4365,0
2801.3,4599.8,46,206,76,-1402.1,0
50921,13047,40,2463,235,-4529.1,2
2176.8,3934.7,21,166,55,-1056.9,1
26371,8793.2,17,1414,167,-2510.9,4
7402.8,6161.8,50,545,94,-1626.9,2
4.67E+05,22507,40,15505,483,-13402,3
1.16E+05,12111,50,4904,234,-4228.2,3
11374,9077.9,30,655,156,-3065,4
3.65E+05,21121,92,12197,523,-11566,0
7637.6,5778.3,74,458,105,-1809.2,2
2175,4013.8,19,164,55,-1129.4,2
28862,8847.2,90,1522,155,-2775,5
60322,12370,196,2824,292,-7202.1,0
38217,11324,43,1997,197,-3858.9,4
2.02E+05,18161,61,7460,390,-7948.6,5
75542,9854.3,27,3795,228,-4754.5,0
39554,11047,28,2117,194,-3865.8,4
61103,13963,28,2755,246,-5049.4,4
30221,8675.5,20,1570,168,-1765.4,0
82240,13900,49,3540,273,-4691.6,4
26810,11134,40,1470,215,-4137.5,3
2.82E+05,23778,72,9276,469,-9482,5
3835.1,6027.8,14,246,88,-1663.9,0
48645,10811,39,2459,196,-4534.8,0
25651,8286.8,39,1520,156,-3221.6,3
7407.3,6615.4,22,546,92,-1513.4,3
57670,14931,35,2189,215,-4629.4,3
45234,9740.2,99,2182,160,-2993.2,4
11709,9106.4,40,654,157,-3201.6,4
85382,13222,185,3888,275,-6766.1,0
2.63E+05,24859,67,8871,540,-10200,3
38097,9486.6,39,2055,179,-3769.6,5
17622,8745.3,77,845,142,-2779.6,4
1754.8,5066.2,17,146,76,-1465.4,5
90209,12403,22,3449,221,-4159.5,4
34485,10406,133,1692,209,-4339.9,4
27150,9178.3,97,1403,158,-3089.4,4
78525,14501,92,3465,320,-6530.1,5
1.69E+05,16574,80,6403,354,-9114.8,0
10302,6359,15,690,110,-3209.8,3
94103,12325,49,4156,262,-5955.7,0
2158.7,6097.3,15,184,83,-1411,4
9398,8349.9,97,489,130,-2656.8,2
