SL,Time,BP,Circulation,HR,EEG
9225.2,7252.9,23,554,138,-3143.6
69796,13166,73,2192,224,-1780
10390,6451.5,16,689,109,-2310
86088,10349,21,3450,220,-2450
1.10E+05,15978,47,4619,322,-6220
37931,10568,129,1751,205,-4152.4
2.80E+05,23487,82,9276,468,-9132.6
14236,6885.4,84,809,120,-2442
67957,10951,142,3373,247,-5376.5
17301,9482.7,74,973,172,-3875.2
4826.5,8147.2,25,271,131,-2544.1
5241.1,6979.9,7,292,79,-1490
2.50E+05,25046,99,8350,537,-9410
11172,8770.1,34,654,156,-3092.3
1.94E+05,15658,58,7459,390,-9780
19296,8292.8,261,979,153,-2650
57622,11196,29,2822,223,-3610
48297,10789,21,2677,216,-5090
17199,9464.4,72,844,142,-2610.3
39148,9571.7,15,1885,196,-3380
43028,11237,21,1885,196,-1890
1.44E+05,14539,165,6057,308,-6001
9487.4,7928,28,516,102,-1230
26140,9766.5,25,1415,174,-3394.7
3302,4938.6,16,205,85,-1980
50116,11667,24,2677,216,-3960
2.86E+05,22319,66,9276,468,-9753.7
1.22E+05,14906,55,4534,330,-5752
73840,12159,26,3630,249,-4200
53020,11726,34,2192,224,-3770
1463.9,3538.9,27,100,40,-598.11
47628,13674,56,2061,273,-5664.8
10354,6657.3,15,689,109,-3660
27346,10716,68,1469,214,-4095.1
26222,9911.6,25,1415,174,-3358.1
59471,10426,52,3052,256,-5078
12088,8229.7,85,693,128,-2512.3
12598,6399.6,14,767,117,-2048
5255.3,7802.7,21,346,107,-1851.2
12888,8039.2,15,806,132,-2743.6
11284,5805.4,17,764,102,-1908.7
4.10E+05,22162,61,14125,473,-8120
66819,13852,51,2192,224,-3830
21169,8294,77,1156,145,-2829.4
1.44E+05,14396,154,6057,308,-6121.1
38010,9633.3,49,2054,180,-3636.5
12866,7904.7,15,806,132,-2683.7
1.20E+05,13734,45,4905,235,-2730
28130,9975.4,22,1521,194,-2300
47926,14004,76,2061,273,-5716
8.57E+05,29496,118,24470,863,-23150
5.15E+05,22445,143,18067,540,-12233
20456,8863.9,100,1162,163,-3460.8
4.71E+05,23006,59,15505,483,-13400
47036,11695,26,2188,215,-6750
49352,11824,19,2677,216,-4730
43552,11599,28,1414,166,-3160
12046,8443.4,84,693,128,-2579.1
4837.4,8373.3,23,271,131,-2623.8
49745,11149,20,2677,216,-4830
10371,6747.8,15,689,109,-3350
26844,8968.1,28,1364,156,-2070
17180,9212.6,30,931,183,-4138.7
30738,9493.5,114,1747,171,-3296.7
41268,9173.5,41,2122,197,-5112
4163,5176.4,10,317,79,-1230
13462,9357.8,25,729,148,-2820.5
3.97E+05,21087,80,13307,488,-11776
52069,14143,34,2464,234,-3190
4225.5,5116.5,12,340,72,-1358.8
2191.7,3978.1,20,165,54,-1054.6
