,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_n_estimators,param_oob_score,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.049473858,0.003517315,0.157839108,0.007299253,gini,6,1,10,FALSE,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 1, 'n_estimators': 10, 'oob_score': False}",0.489765352,0.52047952,0.529235382,0.52428643,0.513770656,0.5155,0.013834108,10940,0.531324247,0.539384846,0.544818102,0.563288767,0.537048607,0.543172914,0.010950814
1,0.207118273,0.005003987,0.003468466,0.000353141,gini,6,1,10,TRUE,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 1, 'n_estimators': 10, 'oob_score': True}",0.489765352,0.52047952,0.529235382,0.52428643,0.513770656,0.5155,0.013834108,10940,0.531324247,0.539384846,0.544818102,0.563288767,0.537048607,0.543172914,0.010950814
2,0.089045477,0.009720746,0.086716509,0.005630071,gini,6,1,20,FALSE,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 1, 'n_estimators': 20, 'oob_score': False}",0.492261608,0.500999001,0.530234883,0.530295443,0.522283425,0.5152,0.015701083,10942,0.527447793,0.529132283,0.546568321,0.562788954,0.549668874,0.543121245,0.013288497
3,0.123059559,0.028617323,0.00576086,0.000369257,gini,6,1,20,TRUE,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 1, 'n_estimators': 20, 'oob_score': True}",0.492261608,0.514985015,0.536731634,0.516775163,0.525788683,0.5173,0.014718885,10938,0.527447793,0.538009502,0.535941993,0.547294764,0.548419343,0.539422679,0.007751385
4,0.1433887,0.007768647,0.008408689,0.000128191,gini,6,1,30,FALSE,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 1, 'n_estimators': 30, 'oob_score': False}",0.499251123,0.533466533,0.535732134,0.526790185,0.534301452,0.5259,0.013685953,10895,0.539952482,0.556014004,0.532941618,0.561664376,0.552792703,0.548673036,0.010612841
5,0.170070648,0.000598598,0.008667421,0.000316413,gini,6,1,30,TRUE,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 1, 'n_estimators': 30, 'oob_score': True}",0.509735397,0.514985015,0.542728636,0.51977967,0.521281923,0.5217,0.01126751,10923,0.552457171,0.539384846,0.538567321,0.545795327,0.543046358,0.543850205,0.005027083
6,0.196453333,0.000968073,0.010868979,5.64E-05,gini,6,1,40,FALSE,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 1, 'n_estimators': 40, 'oob_score': False}",0.496255617,0.528471528,0.529735132,0.525287932,0.51577366,0.5191,0.01243387,10934,0.535575841,0.550262566,0.541192649,0.566162689,0.542296639,0.547098077,0.010622271
7,0.224428606,0.001576385,0.010888338,0.000176233,gini,6,1,40,TRUE,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 1, 'n_estimators': 40, 'oob_score': True}",0.501747379,0.507992008,0.524737631,0.530796194,0.519278918,0.5169,0.010670544,10939,0.540327623,0.529132283,0.540567571,0.568161939,0.543796076,0.544397099,0.012879203
8,0.244883823,0.001917154,0.013571739,0.000152972,gini,6,1,50,FALSE,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 1, 'n_estimators': 50, 'oob_score': False}",0.501747379,0.510989011,0.531734133,0.53329995,0.528292439,0.5212,0.012576013,10928,0.532574716,0.530132533,0.543942993,0.567537174,0.546545046,0.544146492,0.013290715
9,0.279277611,0.001260718,0.013414526,0.000118074,gini,6,1,50,TRUE,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 1, 'n_estimators': 50, 'oob_score': True}",0.504243635,0.510989011,0.52023988,0.527290936,0.512268403,0.515,0.007971676,10943,0.54445417,0.530132533,0.535191899,0.559915032,0.54392103,0.542722933,0.010151212
