,round,reward,ticks
0,0,21.0,204
1,1,7.0,142
2,2,8.0,149
3,3,6.0,139
4,4,3.0,132
5,5,2.0,130
6,6,4.0,135
7,7,5.0,136
8,8,1.0,143
9,9,8.0,150
10,10,7.0,142
11,11,2.0,145
12,12,20.0,204
13,13,8.0,106
14,14,6.0,130
15,15,23.0,252
16,16,8.0,145
17,17,3.0,145
18,18,12.0,149
19,19,9.0,177
20,20,2.0,93
21,21,39.0,397
22,22,12.0,158
23,23,11.0,134
24,24,7.0,145
25,25,10.0,145
26,26,3.0,63
27,27,26.0,236
28,28,12.0,159
29,29,19.0,206
30,30,16.0,145
31,31,4.0,145
32,32,4.0,143
33,33,4.0,161
34,34,4.0,128
35,35,16.0,143
36,36,9.0,155
37,37,5.0,127
38,38,10.0,152
39,39,11.0,133
40,40,13.0,161
41,41,13.0,135
42,42,9.0,174
43,43,6.0,124
44,44,6.0,145
45,45,6.0,124
46,46,14.0,171
47,47,4.0,136
48,48,6.0,118
49,49,8.0,118
50,50,13.0,118
51,51,4.0,121
52,52,6.0,108
53,53,5.0,145
54,54,6.0,125
55,55,12.0,161
56,56,16.0,142
57,57,46.0,399
58,58,28.0,274
59,59,4.0,125
60,60,18.0,177
61,61,27.0,287
62,62,28.0,252
63,63,14.0,177
64,64,14.0,161
65,65,9.0,142
66,66,45.0,1999
67,67,20.0,205
68,68,14.0,145
69,69,32.0,321
70,70,25.0,225
71,71,12.0,128
72,72,9.0,128
73,73,9.0,155
74,74,11.0,152
75,75,8.0,142
76,76,4.0,136
77,77,1.0,145
78,78,8.0,158
79,79,2.0,161
80,80,6.0,145
81,81,18.0,177
82,82,7.0,193
83,83,14.0,176
84,84,4.0,161
85,85,4.0,144
86,86,14.0,177
87,87,22.0,183
88,88,8.0,136
89,89,7.0,190
90,90,6.0,145
91,91,9.0,158
92,92,6.0,142
93,93,7.0,145
94,94,18.0,188
95,95,12.0,136
96,96,27.0,251
97,97,11.0,142
98,98,30.0,270
99,99,14.0,142
100,100,15.0,167
101,101,6.0,142
102,102,37.0,289
103,103,9.0,145
104,104,13.0,142
105,105,3.0,145
106,106,5.0,140
107,107,5.0,141
108,108,14.0,222
109,109,15.0,145
110,110,21.0,223
111,111,10.0,133
112,112,10.0,163
113,113,10.0,133
114,114,20.0,145
115,115,9.0,161
116,116,22.0,208
117,117,5.0,159
118,118,3.0,143
119,119,2.0,139
120,120,6.0,145
121,121,6.0,142
122,122,10.0,138
123,123,13.0,145
124,124,13.0,177
125,125,11.0,133
126,126,13.0,153
127,127,17.0,241
128,128,11.0,236
129,129,10.0,142
130,130,3.0,130
131,131,8.0,142
132,132,10.0,145
133,133,7.0,138
134,134,5.0,110
135,135,3.0,143
136,136,9.0,137
137,137,5.0,142
138,138,6.0,143
139,139,3.0,145
140,140,7.0,141
141,141,1.0,107
142,142,7.0,133
143,143,2.0,116
144,144,6.0,122
145,145,4.0,142
146,146,3.0,142
147,147,11.0,156
148,148,8.0,156
149,149,8.0,141
150,150,12.0,140
151,151,14.0,156
152,152,4.0,145
153,153,15.0,153
154,154,1.0,145
155,155,2.0,130
156,156,11.0,187
157,157,6.0,144
158,158,10.0,145
159,159,14.0,257
160,160,11.0,206
161,161,7.0,206
162,162,6.0,130
163,163,7.0,142
164,164,13.0,145
165,165,14.0,156
166,166,2.0,158
167,167,2.0,141
168,168,9.0,141
169,169,2.0,97
170,170,1.0,127
171,171,9.0,142
172,172,3.0,64
173,173,3.0,142
174,174,2.0,145
175,175,10.0,127
176,176,2.0,127
177,177,4.0,139
178,178,4.0,142
179,179,9.0,142
180,180,2.0,142
181,181,4.0,140
182,182,4.0,142
183,183,4.0,145
184,184,12.0,110
185,185,1.0,143
186,186,3.0,130
187,187,3.0,121
188,188,3.0,123
189,189,5.0,142
190,190,3.0,152
191,191,1.0,142
192,192,2.0,105
193,193,3.0,130
194,194,3.0,158
195,195,5.0,142
196,196,4.0,130
197,197,4.0,142
198,198,6.0,78
199,199,10.0,143
200,200,5.0,130
201,201,9.0,134
202,202,6.0,152
203,203,9.0,127
204,204,5.0,142
205,205,4.0,128
206,206,13.0,174
207,207,16.0,142
208,208,20.0,203
209,209,9.0,142
210,210,11.0,158
211,211,15.0,146
212,212,10.0,142
213,213,23.0,153
214,214,3.0,127
215,215,15.0,150
216,216,10.0,121
217,217,10.0,175
218,218,7.0,179
219,219,6.0,142
220,220,9.0,142
221,221,8.0,158
222,222,7.0,151
223,223,11.0,163
224,224,7.0,142
225,225,9.0,145
226,226,6.0,118
227,227,7.0,142
228,228,14.0,174
229,229,16.0,204
230,230,18.0,148
231,231,9.0,145
232,232,7.0,142
233,233,6.0,130
234,234,16.0,222
235,235,19.0,190
236,236,15.0,170
237,237,10.0,81
238,238,5.0,158
239,239,14.0,248
240,240,8.0,90
241,241,3.0,86
242,242,17.0,161
243,243,12.0,144
244,244,9.0,130
245,245,13.0,146
246,246,3.0,122
247,247,12.0,143
248,248,19.0,238
249,249,7.0,142
250,250,15.0,190
251,251,15.0,209
252,252,14.0,136
253,253,8.0,161
254,254,11.0,141
255,255,12.0,142
256,256,9.0,128
257,257,12.0,142
258,258,9.0,142
259,259,4.0,142
260,260,8.0,162
261,261,8.0,142
262,262,8.0,136
263,263,5.0,143
264,264,16.0,130
265,265,6.0,171
266,266,10.0,139
267,267,4.0,81
268,268,19.0,226
269,269,7.0,121
270,270,4.0,126
271,271,3.0,235
272,272,8.0,158
273,273,11.0,190
274,274,2.0,160
275,275,5.0,158
276,276,1.0,143
277,277,9.0,238
278,278,6.0,142
279,279,11.0,145
280,280,1.0,138
281,281,4.0,158
282,282,3.0,127
283,283,6.0,142
284,284,6.0,145
285,285,6.0,177
286,286,4.0,145
287,287,8.0,145
288,288,8.0,133
289,289,2.0,142
290,290,8.0,161
291,291,1.0,138
292,292,28.0,277
293,293,22.0,257
294,294,44.0,1999
295,295,13.0,145
296,296,48.0,1999
297,297,15.0,158
298,298,16.0,145
299,299,15.0,145
300,300,11.0,104
301,301,29.0,304
302,302,15.0,305
303,303,6.0,142
304,304,8.0,127
305,305,18.0,209
306,306,16.0,137
307,307,13.0,165
308,308,4.0,171
309,309,29.0,305
310,310,28.0,275
311,311,10.0,161
312,312,17.0,191
313,313,4.0,121
314,314,6.0,143
315,315,11.0,177
316,316,2.0,118
317,317,6.0,125
318,318,12.0,134
319,319,23.0,230
320,320,42.0,405
321,321,16.0,166
322,322,14.0,142
323,323,13.0,145
324,324,17.0,161
325,325,13.0,177
326,326,16.0,188
327,327,7.0,201
328,328,8.0,125
329,329,2.0,121
330,330,8.0,161
331,331,12.0,171
332,332,5.0,139
333,333,15.0,139
334,334,8.0,143
335,335,8.0,155
336,336,11.0,206
337,337,7.0,124
338,338,3.0,119
339,339,5.0,121
340,340,13.0,167
341,341,5.0,145
342,342,4.0,127
343,343,7.0,121
344,344,11.0,146
345,345,8.0,174
346,346,2.0,142
347,347,2.0,142
348,348,15.0,203
349,349,5.0,141
350,350,1.0,113
351,351,19.0,248
352,352,13.0,171
353,353,12.0,175
354,354,19.0,262
355,355,10.0,158
356,356,14.0,189
357,357,16.0,151
358,358,7.0,158
359,359,37.0,304
360,360,18.0,142
361,361,19.0,228
362,362,32.0,318
363,363,1.0,141
364,364,6.0,136
365,365,20.0,226
366,366,9.0,165
367,367,6.0,138
368,368,11.0,174
369,369,18.0,190
370,370,4.0,124
371,371,12.0,188
372,372,8.0,142
373,373,12.0,189
374,374,4.0,84
375,375,6.0,124
376,376,19.0,169
377,377,7.0,155
378,378,9.0,121
379,379,11.0,121
380,380,6.0,142
381,381,4.0,118
382,382,2.0,120
383,383,23.0,268
384,384,5.0,122
385,385,8.0,158
386,386,9.0,133
387,387,3.0,137
388,388,7.0,175
389,389,3.0,130
390,390,14.0,194
391,391,6.0,127
392,392,12.0,174
393,393,5.0,123
394,394,6.0,174
395,395,1.0,142
396,396,10.0,163
397,397,4.0,142
398,398,12.0,145
399,399,7.0,145
400,400,8.0,145
401,401,10.0,171
402,402,9.0,139
403,403,16.0,145
404,404,13.0,162
405,405,26.0,269
406,406,5.0,142
407,407,8.0,142
408,408,7.0,145
409,409,2.0,121
410,410,9.0,145
411,411,15.0,225
412,412,6.0,161
413,413,6.0,145
414,414,18.0,207
415,415,9.0,143
416,416,11.0,159
417,417,11.0,161
418,418,12.0,158
419,419,13.0,161
420,420,18.0,161
421,421,7.0,159
422,422,9.0,159
423,423,9.0,149
424,424,6.0,145
425,425,2.0,143
426,426,7.0,145
427,427,9.0,142
428,428,7.0,145
429,429,45.0,404
430,430,16.0,191
431,431,11.0,130
432,432,14.0,145
433,433,11.0,142
434,434,1.0,118
435,435,4.0,141
436,436,8.0,188
437,437,2.0,142
438,438,6.0,146
439,439,1.0,137
440,440,3.0,138
441,441,8.0,142
442,442,12.0,142
443,443,4.0,136
444,444,3.0,127
445,445,9.0,139
446,446,1.0,191
447,447,4.0,149
448,448,5.0,143
449,449,6.0,159
450,450,10.0,150
451,451,6.0,141
452,452,11.0,150
453,453,6.0,142
454,454,5.0,142
455,455,2.0,122
456,456,22.0,255
457,457,6.0,124
458,458,5.0,124
459,459,10.0,134
460,460,5.0,136
461,461,8.0,145
462,462,15.0,166
463,463,7.0,121
464,464,28.0,289
465,465,23.0,222
466,466,21.0,191
467,467,40.0,432
468,468,8.0,159
469,469,2.0,126
470,470,9.0,142
471,471,15.0,177
472,472,10.0,133
473,473,15.0,162
474,474,11.0,140
475,475,46.0,401
476,476,27.0,278
477,477,42.0,417
478,478,15.0,174
479,479,14.0,150
480,480,23.0,209
481,481,9.0,144
482,482,6.0,152
483,483,13.0,158
484,484,11.0,142
485,485,4.0,121
486,486,7.0,171
487,487,4.0,91
488,488,13.0,149
489,489,14.0,176
490,490,15.0,146
491,491,2.0,142
492,492,6.0,175
493,493,2.0,160
494,494,16.0,190
495,495,6.0,142
496,496,15.0,207
497,497,12.0,145
498,498,14.0,145
499,499,13.0,158
500,500,9.0,133
501,501,8.0,145
502,502,9.0,142
503,503,16.0,238
504,504,3.0,77
505,505,37.0,302
506,506,7.0,124
507,507,10.0,142
508,508,16.0,206
509,509,2.0,43
510,510,2.0,142
511,511,7.0,177
512,512,7.0,136
513,513,2.0,145
514,514,24.0,282
515,515,21.0,235
516,516,8.0,159
517,517,6.0,161
518,518,7.0,142
519,519,7.0,187
520,520,24.0,257
521,521,20.0,236
522,522,6.0,143
523,523,8.0,145
524,524,6.0,142
525,525,14.0,145
526,526,17.0,181
527,527,16.0,173
528,528,17.0,193
529,529,12.0,130
530,530,3.0,142
531,531,2.0,139
532,532,11.0,130
533,533,5.0,118
534,534,41.0,402
535,535,4.0,139
536,536,14.0,161
537,537,8.0,134
538,538,2.0,130
539,539,5.0,130
540,540,7.0,141
541,541,14.0,158
542,542,13.0,172
543,543,9.0,124
544,544,22.0,256
545,545,13.0,162
546,546,14.0,193
547,547,10.0,175
548,548,13.0,193
549,549,16.0,193
550,550,18.0,193
551,551,14.0,166
552,552,10.0,145
553,553,1.0,145
554,554,13.0,162
555,555,3.0,127
556,556,2.0,155
557,557,6.0,162
558,558,10.0,160
559,559,2.0,161
560,560,17.0,193
561,561,17.0,145
562,562,5.0,216
563,563,13.0,142
564,564,37.0,318
565,565,10.0,142
566,566,13.0,174
567,567,5.0,127
568,568,4.0,127
569,569,7.0,127
570,570,10.0,142
571,571,9.0,145
572,572,6.0,200
573,573,7.0,143
574,574,15.0,1999
575,575,6.0,116
576,576,10.0,146
577,577,8.0,92
578,578,13.0,145
579,579,9.0,177
580,580,4.0,157
581,581,7.0,177
582,582,15.0,203
583,583,14.0,161
584,584,17.0,193
585,585,10.0,145
586,586,14.0,155
587,587,10.0,144
588,588,8.0,145
589,589,10.0,158
590,590,8.0,145
591,591,11.0,201
592,592,12.0,174
593,593,4.0,161
594,594,5.0,161
595,595,16.0,225
596,596,18.0,253
597,597,32.0,298
598,598,15.0,172
599,599,14.0,149
600,600,11.0,121
601,601,43.0,419
602,602,44.0,403
603,603,3.0,130
604,604,7.0,138
605,605,13.0,140
606,606,6.0,142
607,607,2.0,104
608,608,5.0,139
609,609,4.0,145
610,610,22.0,223
611,611,4.0,161
612,612,6.0,142
613,613,8.0,92
614,614,6.0,152
615,615,14.0,134
616,616,18.0,193
617,617,5.0,161
618,618,11.0,177
619,619,23.0,209
620,620,3.0,145
621,621,5.0,89
622,622,3.0,145
623,623,16.0,157
624,624,26.0,289
625,625,9.0,149
626,626,4.0,121
627,627,18.0,159
628,628,13.0,145
629,629,5.0,145
630,630,11.0,145
631,631,11.0,145
632,632,11.0,161
633,633,13.0,145
634,634,5.0,130
635,635,12.0,146
636,636,10.0,159
637,637,13.0,145
638,638,8.0,137
639,639,10.0,134
640,640,9.0,88
641,641,6.0,142
642,642,18.0,177
643,643,13.0,121
644,644,17.0,177
645,645,13.0,171
646,646,11.0,114
647,647,4.0,124
648,648,7.0,133
649,649,6.0,118
650,650,2.0,127
651,651,1.0,118
652,652,2.0,125
653,653,1.0,121
654,654,2.0,118
655,655,14.0,162
656,656,41.0,374
657,657,0.0,88
658,658,1.0,118
659,659,11.0,137
660,660,5.0,121
661,661,8.0,144
662,662,7.0,127
663,663,3.0,121
664,664,10.0,127
665,665,5.0,155
666,666,5.0,158
667,667,12.0,137
668,668,3.0,133
669,669,4.0,130
670,670,8.0,133
671,671,13.0,153
672,672,11.0,136
673,673,4.0,135
674,674,11.0,145
675,675,15.0,145
676,676,8.0,142
677,677,6.0,145
678,678,8.0,142
679,679,2.0,98
680,680,23.0,209
681,681,5.0,139
682,682,13.0,136
683,683,21.0,185
684,684,3.0,125
685,685,5.0,158
686,686,6.0,139
687,687,18.0,174
688,688,11.0,155
689,689,7.0,136
690,690,12.0,174
691,691,16.0,152
692,692,9.0,147
693,693,9.0,118
694,694,4.0,158
695,695,12.0,121
696,696,17.0,252
697,697,9.0,115
698,698,19.0,171
699,699,17.0,254
700,700,14.0,158
701,701,10.0,134
702,702,19.0,248
703,703,5.0,125
704,704,7.0,121
705,705,8.0,87
706,706,16.0,165
707,707,2.0,130
708,708,3.0,124
709,709,12.0,156
710,710,12.0,140
711,711,11.0,158
712,712,15.0,152
713,713,4.0,142
714,714,9.0,145
715,715,8.0,162
716,716,9.0,118
717,717,12.0,222
718,718,25.0,296
719,719,11.0,137
720,720,6.0,137
721,721,10.0,186
722,722,2.0,118
723,723,8.0,158
724,724,9.0,158
725,725,10.0,133
726,726,10.0,130
727,727,11.0,187
728,728,9.0,140
729,729,12.0,189
730,730,16.0,226
731,731,8.0,152
732,732,17.0,141
733,733,4.0,39
734,734,7.0,142
735,735,7.0,139
736,736,6.0,139
737,737,5.0,177
738,738,6.0,141
739,739,6.0,126
740,740,7.0,140
741,741,18.0,145
742,742,5.0,142
743,743,1.0,145
744,744,4.0,161
745,745,1.0,140
746,746,3.0,130
747,747,4.0,139
748,748,17.0,193
749,749,3.0,139
750,750,6.0,130
