,reward,ticks
0,32.0,263
1,18.0,176
2,6.0,126
3,26.0,258
4,14.0,119
5,19.0,160
6,13.0,166
7,16.0,148
8,22.0,167
9,13.0,135
10,7.0,119
11,3.0,32
12,19.0,172
13,22.0,191
14,8.0,89
15,11.0,150
16,15.0,143
17,13.0,147
18,25.0,190
19,12.0,178
20,14.0,139
21,17.0,145
22,28.0,249
23,9.0,139
24,23.0,219
25,23.0,161
26,18.0,146
27,19.0,126
28,25.0,237
29,15.0,175
30,15.0,152
31,20.0,192
32,19.0,171
33,32.0,239
34,11.0,153
35,18.0,169
36,21.0,185
37,17.0,160
38,16.0,152
39,19.0,192
40,20.0,167
41,13.0,135
42,17.0,134
43,17.0,152
44,17.0,132
45,27.0,154
46,11.0,151
47,9.0,131
48,8.0,109
49,24.0,212
50,15.0,143
51,33.0,252
52,10.0,157
53,32.0,314
54,21.0,211
55,8.0,123
56,21.0,183
57,10.0,76
58,10.0,136
59,16.0,159
