,round,meanScore
0,0,0.55
1,20,15.45
2,40,13.8
3,60,17.7
4,80,14.25
5,100,20.05
6,120,17.75
7,140,18.75
8,160,20.5
9,180,16.9
10,200,20.25
11,220,19.85
12,240,25.85
13,260,23.0
14,280,22.4
15,300,24.15
16,320,20.8
17,340,20.4
18,360,21.55
19,380,23.35
20,400,22.35
21,420,24.4
22,440,27.25
23,460,26.55
24,480,32.3
25,500,17.3
26,520,19.8
27,540,16.3
28,560,17.5
29,580,18.8
30,600,11.85
31,620,21.9
32,640,17.75
33,660,17.2
34,680,15.6
35,700,23.0
36,720,18.8
37,740,22.65
38,760,20.7
39,780,17.1
40,800,17.25
41,820,25.05
42,840,17.25
43,860,22.7
44,880,21.1
45,900,18.35
46,920,26.7
47,940,15.5
48,960,16.95
49,980,23.9
50,1000,22.75
