,round,reward,ticks
0,0,11.0,147
1,1,26.0,192
2,2,23.0,161
3,3,10.0,143
4,4,11.0,125
5,5,13.0,127
6,6,14.0,128
7,7,19.0,166
8,8,17.0,157
9,9,15.0,133
10,10,2.0,127
11,11,12.0,133
12,12,17.0,135
13,13,12.0,139
14,14,10.0,101
15,15,11.0,118
16,16,6.0,145
17,17,11.0,152
18,18,10.0,146
19,19,10.0,126
20,20,3.0,43
21,21,23.0,169
22,22,9.0,139
23,23,15.0,138
24,24,21.0,175
25,25,10.0,158
26,26,1.0,40
27,27,18.0,136
28,28,11.0,132
29,29,11.0,147
30,30,4.0,72
31,31,8.0,120
32,32,12.0,146
33,33,18.0,165
34,34,25.0,191
35,35,9.0,134
36,36,22.0,185
37,37,18.0,172
38,38,13.0,134
39,39,13.0,134
40,40,17.0,138
41,41,7.0,60
42,42,9.0,118
43,43,11.0,158
44,44,22.0,200
45,45,16.0,153
46,46,19.0,172
47,47,17.0,175
48,48,13.0,143
49,49,17.0,163
50,50,19.0,186
51,51,15.0,137
52,52,23.0,201
53,53,17.0,161
54,54,28.0,215
55,55,25.0,270
56,56,9.0,126
57,57,23.0,190
58,58,8.0,121
59,59,20.0,132
60,60,17.0,159
61,61,24.0,187
62,62,18.0,134
63,63,13.0,136
64,64,14.0,149
65,65,14.0,135
66,66,9.0,134
67,67,19.0,158
68,68,16.0,156
69,69,24.0,177
70,70,17.0,135
71,71,14.0,135
72,72,10.0,142
73,73,14.0,118
74,74,21.0,179
75,75,32.0,293
76,76,13.0,136
77,77,6.0,52
78,78,8.0,127
79,79,6.0,142
80,80,9.0,119
81,81,16.0,156
82,82,10.0,158
83,83,8.0,134
84,84,35.0,320
85,85,18.0,143
86,86,42.0,326
87,87,7.0,139
88,88,37.0,278
89,89,14.0,155
90,90,17.0,188
91,91,10.0,141
92,92,15.0,136
93,93,13.0,137
94,94,13.0,127
95,95,12.0,160
96,96,14.0,157
97,97,18.0,193
98,98,18.0,200
99,99,15.0,137
100,100,11.0,138
101,101,45.0,352
102,102,13.0,174
103,103,11.0,153
104,104,20.0,162
105,105,11.0,130
106,106,9.0,124
107,107,6.0,80
108,108,21.0,176
109,109,24.0,174
110,110,11.0,147
111,111,12.0,132
112,112,19.0,170
113,113,6.0,121
114,114,13.0,142
115,115,23.0,234
116,116,17.0,187
117,117,16.0,170
118,118,14.0,157
119,119,18.0,171
120,120,10.0,134
121,121,14.0,159
122,122,11.0,118
123,123,12.0,129
124,124,15.0,166
125,125,11.0,102
126,126,21.0,192
127,127,13.0,150
128,128,41.0,297
129,129,8.0,133
130,130,12.0,121
131,131,4.0,127
132,132,25.0,179
133,133,16.0,131
134,134,24.0,219
135,135,42.0,328
136,136,21.0,175
137,137,15.0,124
138,138,7.0,125
139,139,20.0,149
140,140,15.0,134
141,141,10.0,77
142,142,11.0,124
143,143,11.0,118
144,144,15.0,136
145,145,14.0,129
146,146,11.0,75
147,147,15.0,137
148,148,13.0,155
149,149,13.0,112
150,150,14.0,132
151,151,8.0,78
152,152,17.0,152
153,153,17.0,123
154,154,4.0,32
155,155,23.0,191
156,156,20.0,143
157,157,5.0,38
158,158,36.0,280
159,159,13.0,134
160,160,18.0,167
161,161,12.0,156
162,162,12.0,129
163,163,12.0,121
164,164,15.0,136
165,165,18.0,161
166,166,11.0,141
167,167,10.0,142
168,168,15.0,134
169,169,13.0,158
170,170,8.0,80
171,171,14.0,119
172,172,18.0,149
173,173,19.0,200
174,174,15.0,118
175,175,10.0,134
176,176,14.0,159
177,177,15.0,132
178,178,16.0,178
179,179,11.0,130
180,180,17.0,140
181,181,9.0,130
182,182,16.0,141
183,183,25.0,148
184,184,35.0,287
185,185,11.0,144
186,186,9.0,140
187,187,12.0,80
188,188,14.0,152
189,189,17.0,162
190,190,6.0,142
191,191,11.0,140
192,192,26.0,191
193,193,16.0,141
194,194,24.0,168
195,195,23.0,166
196,196,10.0,155
197,197,16.0,149
198,198,9.0,118
199,199,20.0,153
200,200,14.0,133
201,201,12.0,121
202,202,18.0,180
203,203,15.0,124
204,204,21.0,181
205,205,17.0,143
206,206,48.0,351
207,207,18.0,130
208,208,9.0,139
209,209,17.0,134
210,210,8.0,149
211,211,19.0,174
212,212,11.0,124
213,213,17.0,168
214,214,18.0,173
215,215,11.0,133
216,216,12.0,135
217,217,7.0,134
218,218,11.0,133
219,219,12.0,111
220,220,9.0,142
221,221,10.0,124
222,222,25.0,197
223,223,15.0,156
224,224,28.0,183
225,225,8.0,105
226,226,24.0,147
227,227,15.0,174
228,228,10.0,131
229,229,16.0,133
230,230,12.0,158
231,231,17.0,139
