,round,reward,ticks
0,0,5.0,109
1,1,3.0,74
2,2,6.0,133
3,3,1.0,118
4,4,26.0,281
5,5,5.0,129
6,6,0.0,134
7,7,5.0,143
8,8,2.0,142
9,9,6.0,152
10,10,27.0,264
11,11,16.0,169
12,12,42.0,395
13,13,5.0,143
14,14,12.0,172
15,15,6.0,155
16,16,4.0,161
17,17,6.0,130
18,18,2.0,138
19,19,9.0,161
20,20,3.0,142
21,21,2.0,96
22,22,14.0,184
23,23,12.0,174
24,24,6.0,162
25,25,3.0,127
26,26,12.0,177
27,27,4.0,161
28,28,9.0,174
29,29,5.0,143
30,30,3.0,105
31,31,3.0,151
32,32,10.0,175
33,33,7.0,177
34,34,23.0,270
35,35,8.0,143
36,36,7.0,177
37,37,2.0,143
38,38,1.0,126
39,39,2.0,147
40,40,2.0,145
41,41,2.0,145
42,42,4.0,145
43,43,6.0,161
44,44,7.0,135
45,45,7.0,161
46,46,5.0,70
47,47,6.0,143
48,48,4.0,142
49,49,7.0,142
50,50,8.0,177
51,51,8.0,141
52,52,13.0,145
53,53,8.0,161
54,54,4.0,144
55,55,19.0,161
56,56,5.0,142
57,57,5.0,142
58,58,11.0,161
59,59,1.0,143
60,60,0.0,140
61,61,3.0,122
62,62,3.0,140
63,63,3.0,145
64,64,4.0,146
65,65,10.0,178
66,66,4.0,144
67,67,4.0,106
68,68,14.0,177
69,69,2.0,125
70,70,5.0,284
71,71,6.0,161
72,72,2.0,198
73,73,12.0,133
74,74,26.0,298
75,75,5.0,146
76,76,9.0,142
77,77,4.0,145
78,78,5.0,123
79,79,12.0,121
80,80,18.0,242
81,81,3.0,122
82,82,2.0,118
83,83,2.0,118
84,84,4.0,130
85,85,2.0,121
86,86,5.0,122
87,87,9.0,146
88,88,16.0,185
89,89,8.0,121
90,90,16.0,198
91,91,10.0,188
92,92,11.0,130
93,93,8.0,131
94,94,8.0,124
95,95,14.0,181
96,96,1.0,131
97,97,5.0,142
98,98,8.0,109
99,99,5.0,140
100,100,2.0,157
101,101,7.0,155
102,102,12.0,158
103,103,22.0,239
104,104,15.0,158
105,105,16.0,187
106,106,12.0,140
107,107,12.0,174
108,108,15.0,174
109,109,15.0,191
110,110,21.0,206
111,111,17.0,145
112,112,13.0,130
113,113,17.0,158
114,114,10.0,141
115,115,47.0,395
116,116,18.0,158
117,117,14.0,94
118,118,46.0,401
119,119,13.0,174
120,120,14.0,177
121,121,13.0,156
122,122,29.0,289
123,123,17.0,177
124,124,29.0,286
125,125,6.0,139
126,126,8.0,145
127,127,15.0,142
128,128,13.0,188
129,129,13.0,190
130,130,14.0,159
131,131,16.0,161
132,132,11.0,159
133,133,15.0,177
134,134,4.0,142
135,135,10.0,151
136,136,18.0,169
137,137,10.0,158
138,138,13.0,209
139,139,12.0,161
140,140,16.0,158
141,141,25.0,254
142,142,6.0,139
143,143,10.0,156
144,144,14.0,145
145,145,4.0,138
146,146,24.0,271
147,147,7.0,142
148,148,2.0,145
149,149,10.0,121
150,150,6.0,145
151,151,8.0,137
152,152,7.0,143
153,153,10.0,145
154,154,14.0,145
155,155,5.0,159
156,156,3.0,143
157,157,4.0,118
158,158,7.0,143
159,159,5.0,143
160,160,8.0,142
161,161,10.0,145
162,162,6.0,91
163,163,10.0,119
164,164,7.0,139
165,165,11.0,142
166,166,9.0,142
167,167,10.0,137
168,168,14.0,145
169,169,8.0,130
170,170,47.0,396
171,171,47.0,396
172,172,17.0,145
173,173,47.0,364
174,174,47.0,396
175,175,47.0,380
176,176,47.0,402
177,177,15.0,177
178,178,50.0,416
179,179,11.0,141
180,180,3.0,138
181,181,15.0,145
182,182,14.0,159
183,183,20.0,172
184,184,50.0,384
185,185,47.0,397
186,186,17.0,164
187,187,6.0,118
188,188,11.0,153
189,189,8.0,145
190,190,47.0,400
191,191,15.0,172
192,192,47.0,395
193,193,48.0,370
194,194,6.0,87
195,195,11.0,145
196,196,21.0,172
197,197,25.0,222
198,198,29.0,300
199,199,6.0,146
200,200,3.0,124
201,201,47.0,396
202,202,44.0,395
203,203,16.0,145
204,204,19.0,161
205,205,5.0,145
206,206,14.0,122
207,207,8.0,142
208,208,8.0,149
209,209,5.0,130
210,210,1.0,115
211,211,2.0,124
212,212,3.0,124
213,213,2.0,142
214,214,8.0,149
215,215,4.0,115
216,216,3.0,139
217,217,3.0,130
218,218,4.0,137
219,219,12.0,155
220,220,14.0,226
221,221,8.0,74
222,222,5.0,130
223,223,8.0,145
224,224,12.0,188
225,225,4.0,124
226,226,9.0,175
227,227,12.0,121
228,228,13.0,177
229,229,16.0,191
230,230,3.0,155
231,231,15.0,159
232,232,14.0,194
233,233,4.0,130
234,234,7.0,130
235,235,8.0,145
236,236,7.0,139
237,237,4.0,130
238,238,8.0,139
239,239,10.0,158
240,240,9.0,139
241,241,10.0,145
242,242,9.0,142
243,243,10.0,142
244,244,6.0,38
245,245,6.0,118
246,246,6.0,130
247,247,4.0,130
248,248,6.0,126
249,249,5.0,130
250,250,8.0,124
251,251,13.0,162
252,252,6.0,146
253,253,4.0,118
254,254,3.0,103
255,255,3.0,134
256,256,6.0,128
257,257,9.0,121
258,258,9.0,121
259,259,9.0,161
260,260,15.0,207
261,261,12.0,149
262,262,36.0,297
263,263,11.0,121
264,264,15.0,215
265,265,6.0,134
266,266,12.0,134
267,267,13.0,118
268,268,31.0,265
269,269,14.0,139
270,270,13.0,142
271,271,12.0,140
272,272,4.0,121
273,273,19.0,158
274,274,13.0,137
275,275,13.0,140
276,276,13.0,172
277,277,10.0,124
278,278,11.0,127
279,279,7.0,129
280,280,12.0,142
281,281,20.0,174
282,282,7.0,106
283,283,14.0,158
284,284,13.0,158
285,285,6.0,136
286,286,11.0,153
287,287,9.0,127
288,288,5.0,121
289,289,11.0,121
290,290,12.0,126
291,291,14.0,139
292,292,16.0,145
293,293,9.0,142
294,294,4.0,130
295,295,10.0,142
296,296,13.0,177
297,297,7.0,142
298,298,13.0,174
299,299,7.0,142
300,300,8.0,174
301,301,10.0,142
302,302,6.0,118
303,303,9.0,142
304,304,9.0,130
305,305,9.0,141
306,306,9.0,141
307,307,12.0,157
308,308,2.0,142
309,309,5.0,121
310,310,6.0,124
311,311,1.0,142
312,312,2.0,128
313,313,5.0,124
314,314,2.0,130
315,315,4.0,124
316,316,6.0,124
317,317,9.0,130
318,318,1.0,130
319,319,1.0,124
320,320,6.0,140
321,321,8.0,139
322,322,6.0,145
323,323,14.0,158
324,324,15.0,145
325,325,49.0,380
326,326,43.0,1999
327,327,21.0,177
328,328,6.0,127
329,329,14.0,153
330,330,11.0,139
331,331,15.0,145
332,332,27.0,265
333,333,47.0,396
334,334,23.0,193
335,335,4.0,71
336,336,17.0,193
337,337,19.0,161
338,338,27.0,233
339,339,18.0,145
340,340,39.0,313
341,341,22.0,184
342,342,4.0,120
343,343,9.0,113
344,344,13.0,140
345,345,25.0,232
346,346,9.0,120
347,347,13.0,131
348,348,18.0,137
349,349,9.0,130
350,350,47.0,396
351,351,15.0,139
352,352,42.0,412
353,353,49.0,336
354,354,17.0,177
355,355,44.0,364
356,356,18.0,177
357,357,13.0,172
358,358,18.0,145
359,359,14.0,136
360,360,17.0,174
361,361,7.0,124
362,362,11.0,124
363,363,13.0,161
364,364,11.0,139
365,365,17.0,145
366,366,15.0,185
367,367,16.0,173
368,368,9.0,121
369,369,1.0,122
370,370,27.0,286
371,371,18.0,167
372,372,9.0,119
373,373,12.0,119
374,374,3.0,120
375,375,9.0,136
376,376,10.0,132
377,377,8.0,132
378,378,6.0,161
379,379,15.0,174
380,380,2.0,122
381,381,23.0,266
382,382,33.0,263
383,383,12.0,130
384,384,8.0,119
385,385,11.0,145
386,386,6.0,119
387,387,0.0,120
388,388,1.0,122
389,389,7.0,129
390,390,17.0,181
391,391,7.0,145
392,392,11.0,124
393,393,14.0,140
394,394,10.0,140
395,395,8.0,103
396,396,6.0,119
397,397,2.0,119
398,398,9.0,135
399,399,29.0,242
400,400,49.0,416
401,401,6.0,100
402,402,9.0,124
403,403,6.0,120
404,404,19.0,167
405,405,21.0,168
406,406,47.0,380
407,407,41.0,432
408,408,27.0,268
409,409,31.0,251
410,410,19.0,193
411,411,47.0,396
412,412,47.0,396
413,413,30.0,279
414,414,8.0,124
415,415,9.0,124
416,416,7.0,119
417,417,3.0,119
418,418,2.0,112
419,419,9.0,156
420,420,8.0,142
421,421,7.0,119
422,422,11.0,190
423,423,14.0,172
424,424,24.0,241
425,425,13.0,171
426,426,14.0,146
427,427,32.0,349
428,428,14.0,213
429,429,35.0,290
430,430,15.0,139
431,431,12.0,158
432,432,10.0,161
433,433,14.0,190
