,round,reward,ticks
0,0,18.0,168
1,1,16.0,153
2,2,28.0,230
3,3,18.0,156
4,4,15.0,138
5,5,27.0,262
6,6,35.0,263
7,7,17.0,151
8,8,37.0,279
9,9,39.0,279
10,10,37.0,295
11,11,39.0,294
12,12,46.0,326
13,13,50.0,338
14,14,48.0,399
15,15,24.0,166
16,16,30.0,262
17,17,35.0,294
18,18,50.0,397
19,19,37.0,278
20,20,50.0,388
21,21,35.0,246
22,22,51.0,358
23,23,51.0,364
24,24,51.0,409
25,25,12.0,134
26,26,22.0,188
27,27,46.0,374
28,28,54.0,386
29,29,51.0,408
30,30,23.0,214
31,31,46.0,342
32,32,23.0,198
33,33,5.0,81
34,34,12.0,146
35,35,48.0,399
36,36,10.0,134
37,37,47.0,422
38,38,37.0,278
39,39,48.0,390
40,40,49.0,417
41,41,37.0,326
42,42,49.0,374
43,43,48.0,422
44,44,28.0,236
45,45,50.0,385
46,46,42.0,358
47,47,49.0,347
48,48,47.0,342
49,49,7.0,109
50,50,5.0,140
51,51,12.0,134
52,52,25.0,198
53,53,50.0,374
54,54,43.0,358
55,55,23.0,198
56,56,20.0,134
57,57,15.0,150
58,58,50.0,383
59,59,53.0,417
60,60,15.0,150
61,61,28.0,193
62,62,28.0,246
63,63,13.0,118
64,64,32.0,230
65,65,20.0,174
66,66,49.0,388
67,67,53.0,392
68,68,25.0,198
69,69,48.0,400
70,70,34.0,278
71,71,6.0,106
72,72,33.0,278
73,73,19.0,136
74,74,9.0,134
75,75,47.0,358
76,76,52.0,408
77,77,31.0,214
78,78,16.0,134
79,79,37.0,294
80,80,54.0,387
81,81,48.0,342
82,82,13.0,134
83,83,49.0,363
84,84,53.0,346
85,85,48.0,390
86,86,46.0,334
87,87,25.0,230
88,88,6.0,61
89,89,45.0,326
90,90,51.0,408
91,91,51.0,420
92,92,29.0,262
93,93,45.0,390
94,94,50.0,390
95,95,51.0,387
96,96,13.0,143
97,97,20.0,147
98,98,12.0,134
99,99,19.0,166
100,100,5.0,118
101,101,50.0,379
102,102,49.0,422
103,103,36.0,246
104,104,49.0,422
105,105,23.0,167
106,106,29.0,246
107,107,52.0,380
108,108,10.0,118
109,109,49.0,390
110,110,38.0,294
111,111,48.0,390
112,112,42.0,278
113,113,26.0,214
114,114,48.0,422
115,115,51.0,365
116,116,42.0,294
117,117,45.0,342
118,118,48.0,342
