,round,reward,ticks
0,0,49.0,373
1,1,11.0,132
2,2,4.0,127
3,3,12.0,128
4,4,32.0,286
5,5,31.0,270
6,6,48.0,397
7,7,47.0,385
8,8,13.0,136
9,9,2.0,142
10,10,8.0,145
11,11,18.0,143
12,12,11.0,124
13,13,8.0,130
14,14,6.0,118
15,15,15.0,150
16,16,7.0,118
17,17,19.0,161
18,18,9.0,142
19,19,14.0,202
20,20,1.0,118
21,21,22.0,198
22,22,5.0,118
23,23,2.0,118
24,24,2.0,118
25,25,4.0,127
26,26,8.0,141
27,27,7.0,118
28,28,12.0,115
29,29,7.0,118
30,30,11.0,133
31,31,4.0,118
32,32,2.0,118
33,33,9.0,121
34,34,5.0,118
35,35,11.0,134
36,36,13.0,134
37,37,7.0,150
38,38,9.0,134
39,39,5.0,134
40,40,2.0,118
41,41,0.0,118
42,42,3.0,118
43,43,7.0,134
44,44,11.0,118
45,45,5.0,134
46,46,19.0,150
47,47,14.0,134
48,48,6.0,134
49,49,5.0,118
50,50,11.0,118
51,51,2.0,127
52,52,7.0,145
53,53,11.0,143
54,54,6.0,143
55,55,6.0,142
56,56,9.0,127
57,57,6.0,121
58,58,11.0,134
59,59,4.0,136
60,60,8.0,127
61,61,8.0,145
62,62,8.0,127
63,63,3.0,118
64,64,28.0,294
65,65,10.0,153
66,66,1.0,121
67,67,9.0,137
68,68,7.0,137
69,69,6.0,121
70,70,2.0,118
71,71,5.0,118
72,72,15.0,182
73,73,13.0,134
74,74,4.0,127
75,75,3.0,145
76,76,4.0,121
77,77,7.0,118
78,78,3.0,118
79,79,3.0,134
80,80,4.0,118
81,81,6.0,137
82,82,2.0,121
83,83,12.0,134
84,84,25.0,272
85,85,36.0,356
86,86,14.0,153
87,87,8.0,137
88,88,8.0,127
89,89,7.0,159
90,90,14.0,145
91,91,14.0,139
92,92,7.0,140
93,93,9.0,133
94,94,10.0,133
95,95,9.0,142
96,96,7.0,145
97,97,6.0,121
98,98,15.0,169
99,99,5.0,127
100,100,19.0,217
101,101,3.0,121
102,102,3.0,127
103,103,10.0,134
104,104,7.0,118
105,105,12.0,150
106,106,4.0,121
107,107,16.0,171
108,108,13.0,124
109,109,1.0,91
110,110,22.0,273
111,111,5.0,121
112,112,8.0,137
113,113,2.0,145
114,114,11.0,158
115,115,8.0,177
116,116,0.0,143
117,117,5.0,142
118,118,1.0,140
119,119,0.0,145
120,120,4.0,139
121,121,0.0,142
122,122,0.0,142
123,123,0.0,142
124,124,0.0,142
125,125,2.0,140
126,126,6.0,136
127,127,2.0,140
128,128,10.0,133
129,129,11.0,145
130,130,-1.0,142
131,131,4.0,133
132,132,9.0,139
133,133,5.0,133
134,134,7.0,133
135,135,-1.0,128
136,136,7.0,145
137,137,3.0,121
138,138,9.0,137
139,139,12.0,175
140,140,9.0,123
141,141,6.0,145
142,142,14.0,137
143,143,5.0,121
144,144,5.0,121
145,145,2.0,145
146,146,1.0,145
147,147,1.0,142
148,148,0.0,142
149,149,0.0,136
150,150,6.0,146
151,151,0.0,139
152,152,1.0,142
153,153,5.0,155
154,154,2.0,142
155,155,0.0,139
156,156,1.0,130
157,157,2.0,142
158,158,1.0,139
159,159,2.0,142
160,160,1.0,130
161,161,2.0,139
162,162,3.0,130
163,163,6.0,149
164,164,16.0,201
165,165,0.0,124
166,166,1.0,142
167,167,4.0,142
168,168,4.0,143
169,169,2.0,130
170,170,1.0,118
171,171,7.0,121
172,172,2.0,121
173,173,3.0,118
174,174,4.0,157
175,175,-1.0,139
176,176,5.0,143
177,177,4.0,139
178,178,6.0,143
179,179,7.0,127
180,180,7.0,139
181,181,0.0,118
182,182,1.0,140
183,183,4.0,134
184,184,8.0,142
185,185,0.0,118
186,186,3.0,118
187,187,3.0,142
188,188,7.0,140
189,189,21.0,207
190,190,2.0,143
191,191,6.0,133
192,192,16.0,220
193,193,4.0,124
194,194,2.0,130
195,195,4.0,130
196,196,4.0,130
197,197,3.0,75
198,198,2.0,118
199,199,2.0,118
