,reward,ticks
0,28.0,275
1,17.0,189
2,11.0,157
3,43.0,417
4,42.0,417
5,43.0,417
6,43.0,417
7,43.0,417
8,44.0,417
9,8.0,131
10,42.0,413
11,43.0,417
12,44.0,366
13,43.0,417
14,43.0,417
15,26.0,269
16,43.0,411
17,10.0,147
18,43.0,417
19,42.0,417
20,20.0,263
21,43.0,417
22,43.0,417
23,43.0,417
24,43.0,417
25,44.0,417
26,43.0,417
27,44.0,417
28,42.0,405
29,43.0,417
30,43.0,417
31,43.0,417
32,43.0,417
33,44.0,417
34,42.0,417
35,13.0,173
36,43.0,417
37,43.0,417
38,13.0,163
39,13.0,147
40,14.0,163
41,12.0,157
42,43.0,417
43,43.0,417
44,44.0,417
45,43.0,417
46,44.0,401
47,45.0,379
48,42.0,419
49,43.0,417
50,26.0,275
51,43.0,417
52,14.0,163
53,45.0,401
54,43.0,417
55,26.0,275
56,11.0,139
57,42.0,417
58,43.0,417
59,43.0,417
60,14.0,179
61,43.0,417
62,6.0,141
63,17.0,189
64,41.0,405
65,15.0,173
66,17.0,189
67,43.0,417
68,43.0,417
69,43.0,417
70,43.0,417
71,43.0,417
72,42.0,417
73,43.0,409
74,42.0,405
75,16.0,173
76,42.0,417
77,44.0,414
78,43.0,417
79,43.0,417
80,44.0,401
81,43.0,417
82,10.0,147
83,44.0,395
84,32.0,323
85,43.0,417
86,43.0,417
87,42.0,417
88,43.0,417
89,44.0,417
90,23.0,253
91,43.0,417
92,43.0,417
93,13.0,163
94,39.0,397
95,43.0,417
96,43.0,395
97,14.0,163
98,42.0,417
99,27.0,272
